Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-08-16,2016,8,16,Tuesday,33,2016-33,74.89,75.08,74.54,74.68,4912900,55.24,-0.004266635350229642,56.232142857142854,56.25679999999999
2016-08-17,2016,8,17,Wednesday,33,2016-33,74.68,76.68,74.32,76.65,4822000,56.7,0.02637923501924022,56.21642857142857,56.318200000000004
2016-08-18,2016,8,18,Thursday,33,2016-33,76.41,76.86,76.14,76.86,4116000,56.86,0.00273977726829866,56.154999999999994,56.37620000000001
2016-08-19,2016,8,19,Friday,33,2016-33,76.49,76.63,75.31,75.8,3134500,56.07,-0.01379128176027089,56.06071428571429,56.4066
2016-08-22,2016,8,22,Monday,34,2016-34,75.95,76.58,75.71,76.28,2308200,56.43,0.006332202451692526,56.003571428571426,56.45
2016-08-23,2016,8,23,Tuesday,34,2016-34,76.38,76.78,75.83,75.83,2095600,56.09,-0.005899178548412154,55.95428571428572,56.486
2016-08-24,2016,8,24,Wednesday,34,2016-34,75.6,76.22,75.43,76.12,2155400,56.31,0.003824558055791627,55.93857142857143,56.52219999999999
2016-08-25,2016,8,25,Thursday,34,2016-34,76.02,76.56,75.9,76.24,2193300,56.4,0.0015759551370020386,55.98500000000001,56.560199999999995
2016-08-26,2016,8,26,Friday,34,2016-34,76.27,76.89,74.66,74.74,3243700,55.29,-0.019674428640323205,55.972142857142856,56.5728
2016-08-29,2016,8,29,Monday,35,2016-35,75.09,75.69,75.04,75.69,3758900,55.99,0.012710787952249891,56.02285714285715,56.596000000000004
2016-08-30,2016,8,30,Tuesday,35,2016-35,75.65,76.02,74.84,74.95,2415500,55.44,-0.009776861262562275,56.019285714285715,56.6046
2016-08-31,2016,8,31,Wednesday,35,2016-35,73.99,74.34,73.68,74.16,3448800,55.38,-0.0012118217327874437,55.99071428571428,56.612199999999994
2016-09-01,2016,9,1,Thursday,35,2016-35,74.18,74.34,73.78,74.06,2144200,55.3,-0.0013486533409136081,55.92714285714286,56.626400000000004
2016-09-02,2016,9,2,Friday,35,2016-35,74.05,75.09,74.0,74.75,1794900,55.82,0.009316605878751716,55.951428571428565,56.6488
2016-09-06,2016,9,6,Tuesday,36,2016-36,75.21,75.82,74.97,75.5,2477400,56.38,0.010033632015004734,56.03285714285714,56.678999999999995
2016-09-07,2016,9,7,Wednesday,36,2016-36,75.32,75.66,75.05,75.39,1662500,56.3,-0.0014571348283778374,56.00428571428572,56.6962
2016-09-08,2016,9,8,Thursday,36,2016-36,75.18,75.59,74.89,75.51,2603900,56.38,0.0015916687063119994,55.970000000000006,56.692800000000005
2016-09-09,2016,9,9,Friday,36,2016-36,74.9,74.96,72.49,72.5,2994900,54.14,-0.03986203329053728,55.832142857142856,56.6452
2016-09-12,2016,9,12,Monday,37,2016-37,72.57,74.22,72.55,74.05,3193800,55.29,0.02137959229575359,55.75071428571429,56.598
2016-09-13,2016,9,13,Tuesday,37,2016-37,73.86,74.03,73.16,73.52,3079100,54.9,-0.007157624621494607,55.66571428571428,56.544000000000004
2016-09-14,2016,9,14,Wednesday,37,2016-37,73.66,74.41,73.42,73.79,1812000,55.1,0.0036726741577499666,55.57928571428572,56.4854
2016-09-15,2016,9,15,Thursday,37,2016-37,73.86,74.62,73.56,74.45,2145100,55.59,0.008944096609619034,55.521428571428565,56.4296
2016-09-16,2016,9,16,Friday,37,2016-37,74.25,75.3,73.95,75.06,4744400,56.05,0.008193520457417502,55.575714285714284,56.404399999999995
2016-09-19,2016,9,19,Monday,38,2016-38,75.12,75.93,75.03,75.9,2133300,56.68,0.01119093438146046,55.625,56.3812
2016-09-20,2016,9,20,Tuesday,38,2016-38,76.25,76.36,75.61,75.63,2431600,56.47,-0.00355750997051818,55.698571428571434,56.3544
